Customer_ID,Customer_Name,Gender,Age,State,City,Bank_Branch,Account_Type,Transaction_ID,Transaction_Date,Transaction_Time,Transaction_Amount,Merchant_ID,Transaction_Type,Merchant_Category,Account_Balance,Transaction_Device,Transaction_Location,Device_Type,Is_Fraud,Transaction_Currency,Customer_Contact,Transaction_Description,Customer_Email
4f68f915-10c6-4296-a967-973ec392e2ca,Zayan Sidhu,Male,30,Meghalaya,Tura,Tura Branch,Checking,0e8eb60a-0e60-4e09-9c09-76c4c5b0c3c4,03-01-2025,02:12:45,95667.96,12f191b4-7fc3-44be-a895-9504c2783816,Debit,Health,7288.63,Biometric Scanner,"Tura, Meghalaya",Mobile,1,INR,+9196179XXXXXX,Car service,zayanXXX@XXXXXXX.com
c6d34f7e-d8c9-45e9-ad0d-d3accd4895ef,Warinder Agrawal,Female,67,Tamil Nadu,Trichy,Trichy Branch,Checking,289f525d-24cb-41f8-a5a2-80f639ca755f,19-01-2025,13:21:00,60502.58,24ea87c7-d66d-440f-be73-c42f8b30d972,Debit,Clothing,85120.05,ATM,"Trichy, Tamil Nadu",POS,1,INR,+9197206XXXXXX,Import duty payment,warinderXXXXX@XXXXX.com
fab811dc-9895-461d-90b0-70de21e85e07,Nitara Batta,Male,24,Himachal Pradesh,Kangra,Kangra Branch,Checking,89b2ff30-e6cc-4d89-9676-37dfa7a4dfee,05-01-2025,13:13:11,76437.89,96ffb7c8-f60b-47db-a694-0c51a6046291,Bill Payment,Health,83754.59,Payment Gateway Device,"Kangra, Himachal Pradesh",Desktop,1,INR,+9196876XXXXXX,E-commerce refund,nitaraXXXXX@XXXXX.com
98aa589a-f68a-4e01-bc3e-4a44f0c09838,Varenya Batta,Female,33,Goa,Margao,Margao Branch,Savings,df04876a-23bf-4842-9c1d-4e95b6f8c7df,28-01-2025,13:52:04,50499.73,985f2e4a-8ae4-4b44-a391-c12ecf37dcf2,Credit,Entertainment,38251.92,Bank Branch,"Margao, Goa",Desktop,1,INR,+9192482XXXXXX,Online subscription,varenyaXXXXX@XXXXXX.com
ab0cb5c9-0095-47c6-87d6-36e0f07fcfa3,Yadavi Mammen,Male,29,Andaman and Nicobar Islands,Port Blair,Port Blair Branch,Checking,130589b8-9e37-46fc-ba92-d11963205d12,28-01-2025,07:34:21,63840.09,3ca3a0c3-be81-422e-8a61-9a7a5fcc0564,Bill Payment,Groceries,72135.65,Smart Card,"Port Blair, Andaman and Nicobar Islands",ATM,1,INR,+9197478XXXXXX,Subscription renewal,yadaviXXXX@XXXXXX.com
6d3c855a-249e-4989-91ee-284bfe9bc408,Lakshmi Sethi,Male,38,Punjab,Jalandhar,Jalandhar Branch,Checking,9d2cde57-262f-4d7a-b726-f0ae0feb719b,23-01-2025,08:29:03,29722.53,19668538-7200-4ed4-8d53-7077ab1d80cd,Bill Payment,Entertainment,14873.22,Mobile Device,"Jalandhar, Punjab",Desktop,1,INR,+9197532XXXXXX,Pharmacy purchase,lakshmiXXXX@XXXXXXX.com
ee1c2688-ff31-4fbd-963c-0d68d5d42545,Faqid Sundaram,Female,29,Andaman and Nicobar Islands,Car Nicobar,Car Nicobar Branch,Business,c7d4f59b-b2c8-47de-8d04-2d84cffc5fb8,03-01-2025,06:07:45,52672.03,d1ce1bfc-dea3-4905-9bac-49288a08618e,Withdrawal,Entertainment,76958.31,ATM Booth Kiosk,"Car Nicobar, Andaman and Nicobar Islands",Mobile,1,INR,+9193926XXXXXX,Utility service,faqidXXXXX@XXXXX.com
e3682ce6-8469-43f9-8e66-729cc8674668,Damini Kala,Female,59,Karnataka,Belgaum,Belgaum Branch,Business,80cccb2a-af70-4407-b45d-98ef8a85f24f,05-01-2025,20:50:14,22045.62,e9c2b3d9-6420-4a01-84dd-ae3c6a81aee3,Debit,Health,9946.13,Smart Card,"Belgaum, Karnataka",ATM,1,INR,+9195440XXXXXX,Electronic gadget repair,daminiXXXX@XXXXXXX.com
33cb98ed-af36-4d6b-977f-c377db979ef8,Sai Sehgal,Male,46,Kerala,Kochi,Kochi Branch,Business,9fea2fbc-3563-493a-a4e4-9f72dc153337,06-01-2025,12:08:26,45143.79,faea8fce-a789-4ef0-a99e-c2628be6d114,Transfer,Health,79277.63,Smart Card,"Kochi, Kerala",Mobile,1,INR,+9198857XXXXXX,Home renovation,saiXXXXX@XXXXXX.com
876fc63d-f2ac-4cf1-b44c-f15e87c3ffd3,Farhan Sibal,Female,47,Manipur,Churachandpur,Churachandpur Branch,Business,d8e2d644-7c4e-4158-a5d4-13e59ef4b908,01-01-2025,22:42:39,89586.8,bcfed57c-68b7-4079-a0e9-43c4c23e0fa7,Credit,Entertainment,6092.31,ATM Booth Kiosk,"Churachandpur, Manipur",Desktop,1,INR,+9197542XXXXXX,Moving services payment,farhanXXXXX@XXXXX.com
5642edd0-44cc-4af1-b04c-3a399bd32540,Amrita Korpal,Female,50,Haryana,Faridabad,Faridabad Branch,Checking,d2004b16-3b74-4bc9-b281-ae56eb72865b,13-01-2025,10:31:29,28055.01,3253ca99-1f3a-462b-a914-ae7067aa6835,Debit,Health,15543.25,POS Terminal,"Faridabad, Haryana",POS,1,INR,+9197955XXXXXX,Food delivery,amritaXXXX@XXXXXXX.com
54ee2c0d-919d-4413-b9fd-70bb28dc72a7,Girindra Ramanathan,Male,19,Rajasthan,Jodhpur,Jodhpur Branch,Business,c957ab63-b2f3-464c-bb40-1b90a003869d,26-01-2025,14:23:36,61570.84,3447416a-409f-4e41-80af-9b4a1453f1cb,Debit,Clothing,33882.63,QR Code Scanner,"Jodhpur, Rajasthan",POS,1,INR,+9196495XXXXXX,Ridesharing service,girindraXXX@XXXXXXX.com
b3579420-c92a-4363-a0f2-79464dd94030,Waida Sethi,Male,37,Madhya Pradesh,Indore,Indore Branch,Business,d6ed56cc-bbbf-4247-b351-38cf91b35c73,30-01-2025,02:17:03,50426.13,41d47605-cc7b-432f-baa6-06c7a27fc995,Bill Payment,Electronics,92340.62,Tablet,"Indore, Madhya Pradesh",Desktop,1,INR,+9197521XXXXXX,Personal loan repayment,waidaXXX@XXXXXXX.com
9fcfbd2b-769b-478e-9899-05a20474081d,Vivaan Jhaveri,Male,56,Rajasthan,Jaipur,Jaipur Branch,Business,43c8a596-682a-4fed-9f46-82daf9809e9d,01-01-2025,13:46:28,96166.66,0a59e692-1b77-4b15-956a-50198b07986a,Transfer,Clothing,68242.04,POS Terminal,"Jaipur, Rajasthan",ATM,1,INR,+9195241XXXXXX,Utility service,vivaanXXXXX@XXXXX.com
5d5b46f4-09f0-4c22-a7e5-be73f673ce0c,Owen Gera,Female,68,Chandigarh,Chandigarh,Chandigarh Branch,Business,26946df4-49c0-40a2-80a1-4af3bc463d32,20-01-2025,11:23:41,42321.07,c6ba0039-7fa7-46d0-9adb-874ea0a9febb,Credit,Restaurant,10754.19,ATM Booth Kiosk,"Chandigarh, Chandigarh",Desktop,1,INR,+9192853XXXXXX,Bookstore purchase,owenXXXXX@XXXXXXX.com
dea1eace-8bf3-4828-8e06-b72fe336ac1a,Michael Mohan,Male,29,Sikkim,Gangtok,Gangtok Branch,Checking,e4d331ca-3796-47a9-9339-d28a5c310071,11-01-2025,10:48:31,15871.12,3d15f938-494b-4c1d-afdf-31ee7192bc4e,Credit,Groceries,88372.48,Biometric Scanner,"Gangtok, Sikkim",Mobile,1,INR,+9198917XXXXXX,New year shopping,michaelXXXXX@XXXXXXX.com
d1b7bccd-2c40-465a-9a74-2f60ceb23171,Ethan Sami,Male,45,Assam,Jorhat,Jorhat Branch,Checking,b53835a7-5f41-40ef-b856-3202ea5f93cc,01-01-2025,23:09:20,59225.28,2283905d-e345-453e-8890-ed1e3f37f64c,Bill Payment,Electronics,29973.31,Banking Chatbot,"Jorhat, Assam",ATM,1,INR,+9198838XXXXXX,Charity contribution,ethanXXXX@XXXXXXX.com
fecfaa74-f198-4546-906b-38cf71ebd24c,Rohan De,Female,24,Punjab,Ludhiana,Ludhiana Branch,Business,2231afc4-6874-4213-90eb-0b9a80a9aba3,05-01-2025,03:04:03,76456.87,e4e328a5-8513-4df9-be70-78c1648320d8,Bill Payment,Electronics,45972.81,Voice Assistant,"Ludhiana, Punjab",POS,1,INR,+9198191XXXXXX,Apparel purchase,rohanXXXX@XXXXXXX.com
8b9bc243-a6ed-4376-96f8-e9e49480125e,Meera Halder,Male,55,Dadra and Nagar Haveli and Daman and Diu,Daman,Daman Branch,Checking,9d5ed15e-ae54-43bf-820c-3b567463e97d,22-01-2025,23:49:33,37270.69,97af16b9-01fd-41c0-a50c-da45656618ed,Transfer,Restaurant,63817.16,Banking Chatbot,"Daman, Dadra and Nagar Haveli and Daman and Diu",POS,1,INR,+9195269XXXXXX,Beauty products,meeraXXXX@XXXXXXX.com
be82ac10-88d1-4606-8e2e-a7432eeb59d8,Ekaja Jha,Male,26,Chhattisgarh,Korba,Korba Branch,Checking,ba55bc59-2f64-4f35-8f65-19be9a37b2ec,03-01-2025,17:38:05,40045.99,28fea331-88ed-43ff-96b5-d719224e3d98,Transfer,Restaurant,5851.13,Voice Assistant,"Korba, Chhattisgarh",POS,1,INR,+9199716XXXXXX,Home cleaning services,ekajaXXX@XXXXXX.com
63a65d78-af01-4c7b-aea9-e6c125c00d59,Wriddhish Sood,Female,45,Chandigarh,Chandigarh,Chandigarh Branch,Savings,c95ce44a-b0e6-4b52-9f9e-e3a619874eeb,26-01-2025,21:31:39,14143.49,a7854485-a158-4a43-9e9b-12c8ba7ed727,Transfer,Health,98940.8,POS Mobile App,"Chandigarh, Chandigarh",POS,1,INR,+9191731XXXXXX,Corporate event ticket,wriddhishXXXXX@XXXXX.com
a9bdfe2d-60b8-415a-80d5-84bfe0836c11,Siddharth Date,Male,56,Madhya Pradesh,Ujjain,Ujjain Branch,Business,360c788e-a45d-4fa3-969b-96d3c730c191,23-01-2025,06:27:36,69154.11,e688fe2e-cc6e-453e-a6f6-5a90851d6dbf,Credit,Health,42363.41,ATM Booth Kiosk,"Ujjain, Madhya Pradesh",POS,1,INR,+9197470XXXXXX,Online clothing store,siddharthXXX@XXXXXXX.com
9fbbc9f6-4069-4a5a-b431-db41d8c717a7,Wazir Sathe,Female,62,Bihar,Munger,Munger Branch,Checking,27ce5949-a312-4a9c-8866-e2968f9cea53,14-01-2025,14:52:12,25853.65,a6faab60-b111-4f0f-bd01-dd8842488a08,Bill Payment,Clothing,5709.18,POS Mobile Device,"Munger, Bihar",POS,1,INR,+9196929XXXXXX,Laundry service,wazirXXX@XXXXXXX.com
7be246d8-99d0-4b2e-b6ef-c38de938b8c2,Aashi Ganesan,Female,58,Telangana,Karimnagar,Karimnagar Branch,Business,f8a19bb3-c213-4eee-8ed5-09f7178e4d2a,22-01-2025,08:38:25,37804.02,a5040082-875d-49ff-aad7-8617ab432da7,Bill Payment,Groceries,43515.48,Desktop/Laptop,"Karimnagar, Telangana",ATM,1,INR,+9199208XXXXXX,Tuition fee payment,aashiXXXX@XXXXXXX.com
fa19c5a3-79f3-412a-b235-9f53798e0dc2,Madhavi Goel,Male,38,Odisha,Sambalpur,Sambalpur Branch,Savings,d6c3c55b-04f6-4b03-824b-6470219b236c,19-01-2025,09:13:47,84954.31,865bdf65-a144-492a-bb6e-acffc82ed769,Bill Payment,Entertainment,14150.05,Bank Branch,"Sambalpur, Odisha",ATM,1,INR,+9195111XXXXXX,Subscription fee,madhaviXXXXX@XXXXXX.com
eb39fc08-d8be-4633-86d3-9c4887df9493,Nathaniel Vig,Male,43,Lakshadweep,Kavaratti,Kavaratti Branch,Business,fe813c2e-08a7-49fe-9844-74638591edd3,04-01-2025,06:40:28,78454.08,ee5c48bc-6529-4ce3-b1f6-1f27bbcbd5dd,Bill Payment,Entertainment,10997.07,Bank Branch,"Kavaratti, Lakshadweep",Mobile,1,INR,+9198594XXXXXX,Streaming subscription,nathanielXXXXX@XXXXX.com
ac331aea-0fd2-4728-b435-2394e671925d,Aachal Srinivasan,Female,28,Telangana,Karimnagar,Karimnagar Branch,Business,607e9326-6c0b-4bd9-86b0-560a70eb0a79,17-01-2025,12:02:36,67534.22,d3ac3f7c-5595-4a31-8b72-4b1a20b4cb09,Bill Payment,Clothing,25415.12,POS Terminal,"Karimnagar, Telangana",ATM,1,INR,+9191577XXXXXX,Clothing purchase,aachalXXX@XXXXXX.com
a3fbc8c5-91cf-4167-8610-82b40aa4ad68,Arya Kar,Male,70,Puducherry,Puducherry,Puducherry Branch,Checking,b5fb6f0b-aa17-4552-ba45-d2b3058b9156,08-01-2025,10:08:57,57046.99,db165cf6-73f0-41ac-98e0-c8fce58dd31d,Debit,Clothing,31560.32,Self-service Banking Machine,"Puducherry, Puducherry",Mobile,1,INR,+9195350XXXXXX,Digital media purchase,aryaXXXX@XXXXXXX.com
a6b006c6-e81c-4de2-8d3c-00aa57186663,Eesha Goyal,Female,54,Manipur,Kangpokpi,Kangpokpi Branch,Checking,6a5d9638-324d-4f7d-bd54-8088a7a58c53,04-01-2025,04:09:28,5378.28,bd20f26b-00e7-4d20-8c76-685026633a5d,Credit,Restaurant,67423.74,Biometric Scanner,"Kangpokpi, Manipur",ATM,1,INR,+9199268XXXXXX,Mutual fund investment,eeshaXXXX@XXXXX.com
6e9c8154-5217-4a09-9c1d-6003c06d790c,Omkaar Parekh,Female,36,Uttarakhand,Nainital,Nainital Branch,Business,dd4d1028-babe-4d46-9b4d-b9eb20041da5,13-01-2025,01:02:44,40530.78,d328af62-8a48-4ffb-a264-05aa01f12164,Bill Payment,Health,88302.91,Voice Assistant,"Nainital, Uttarakhand",Mobile,1,INR,+9191220XXXXXX,Credit card payment,omkaarXXX@XXXXXX.com
64df1aed-ac5a-4e94-8ef0-b89e32d42492,Veda Bhakta,Male,59,West Bengal,Howrah,Howrah Branch,Savings,e2a99934-59c7-408d-816f-a3e1519f8282,04-01-2025,22:29:30,14290.19,8fcc4e6e-6e4e-43c5-add7-1becd99e7666,Withdrawal,Restaurant,45079.89,ATM Booth Kiosk,"Howrah, West Bengal",ATM,1,INR,+9198982XXXXXX,Health insurance payment,vedaXXX@XXXXXX.com
5b676044-a6d9-41b6-ac75-d0c5e8bff0b1,Janaki Dugar,Female,64,West Bengal,Asansol,Asansol Branch,Checking,424fbcaf-8037-46ba-9914-1e41e8a9435a,03-01-2025,10:23:43,23990.67,d214cbbd-972c-4d04-bc8f-9403ff79472c,Withdrawal,Groceries,93044.72,ATM,"Asansol, West Bengal",Desktop,1,INR,+9194247XXXXXX,Clinic payment,janakiXXXX@XXXXX.com
65642bf5-a672-41f1-91da-e7f110b67137,Girik Deshmukh,Female,30,Odisha,Sambalpur,Sambalpur Branch,Savings,49b9bf4c-42ad-4f10-9f59-a15e6ff58409,20-01-2025,07:10:19,89396.07,1dbd027e-b8eb-4a90-b267-723cfec88e05,Debit,Entertainment,26165.51,Desktop/Laptop,"Sambalpur, Odisha",POS,1,INR,+9193740XXXXXX,Legal services payment,girikXXXXX@XXXXX.com
e939fc88-fb0b-4b93-a276-5f46e0189566,Upasna Vohra,Male,69,Maharashtra,Aurangabad,Aurangabad Branch,Business,f880579b-0b51-49e9-8532-c8d329da9cf5,21-01-2025,10:27:25,90687.53,54ff44a1-2320-4140-8866-d791a9bf8fa5,Credit,Clothing,46836.98,Bank Branch,"Aurangabad, Maharashtra",POS,1,INR,+9198550XXXXXX,Home renovation,upasnaXXX@XXXXXX.com
0b4b3d28-2ece-455e-bc81-22ef9f305a19,Wakeeta Chanda,Female,21,Lakshadweep,Kavaratti,Kavaratti Branch,Business,b2282feb-e22b-4d63-b06b-6c689b470637,03-01-2025,10:13:41,63917.75,a92f40a3-4546-40ed-b4d3-92423b17f20e,Withdrawal,Restaurant,70564.52,ATM Booth Kiosk,"Kavaratti, Lakshadweep",ATM,1,INR,+9196407XXXXXX,Legal services payment,wakeetaXXXX@XXXXXX.com
c8104fec-6248-4ff0-8cb0-aa610be47a9c,Bhanumati Kothari,Female,28,Lakshadweep,Kavaratti,Kavaratti Branch,Business,ddd50c5c-54ab-437a-a496-9f700d44d608,25-01-2025,03:38:33,51737.37,a19c2e5d-7541-42c9-bfed-191630025bba,Transfer,Restaurant,40423.71,QR Code Scanner,"Kavaratti, Lakshadweep",ATM,1,INR,+9191234XXXXXX,Music concert tickets,bhanumatiXXXX@XXXXXX.com
e1234092-74d2-47f1-99a2-cb4aa151a8d1,Gavin Datta,Female,21,Rajasthan,Ajmer,Ajmer Branch,Business,85eca96a-be32-4e0d-a2ef-b1e55187e012,19-01-2025,04:18:33,58725.95,0de775a9-c0a2-41da-9da6-d80cb8ee3d23,Withdrawal,Entertainment,91374.48,Self-service Banking Machine,"Ajmer, Rajasthan",ATM,1,INR,+9198632XXXXXX,POS transaction,gavinXXXXX@XXXXX.com
bd4481de-6293-4757-bef7-4a18a69724a4,Ria Hayer,Female,58,Madhya Pradesh,Indore,Indore Branch,Checking,9d24db10-844a-4dbb-907a-b472110750a5,12-01-2025,09:01:49,74179.64,78b1422d-527c-4ced-a6f0-04bd41db8606,Debit,Groceries,57005.73,Biometric Scanner,"Indore, Madhya Pradesh",Mobile,1,INR,+9196076XXXXXX,Gift card purchase,riaXXX@XXXXX.com
2d383be0-caf7-4cfb-a8cb-09cebfbe8141,Qushi Thakkar,Male,58,Andhra Pradesh,Nellore,Nellore Branch,Business,b8221a7f-5863-4f7c-8cca-13172c6167ef,19-01-2025,17:30:33,28597.05,0d5dbccc-0a4d-421e-a138-3e8aae955c72,Bill Payment,Health,23701.18,Voice Assistant,"Nellore, Andhra Pradesh",ATM,1,INR,+9198200XXXXXX,Department store shopping,qushiXXXXX@XXXXXXX.com
5a04692a-6afa-4fdb-96ba-50159410b788,Panini Menon,Female,58,Chandigarh,Chandigarh,Chandigarh Branch,Checking,d68c0053-58ca-4cb5-8ea6-ebc5dac0d439,04-01-2025,12:33:39,86970.02,6ed8e5e7-5204-43ff-a97a-1bddb44041c6,Credit,Restaurant,99111.04,Desktop/Laptop,"Chandigarh, Chandigarh",Mobile,1,INR,+9199745XXXXXX,Beauty products,paniniXXXX@XXXXXX.com
44950fe0-d73f-47a7-b999-06c11ab07472,Chandani Saxena,Male,66,Dadra and Nagar Haveli and Daman and Diu,Daman,Daman Branch,Business,8a837bfc-3306-4b0b-8d2f-d3c9eefcaf1c,23-01-2025,18:49:48,8028.52,d198d7ab-6452-456d-b2d3-328f094f20ac,Transfer,Groceries,33311.77,Tablet,"Daman, Dadra and Nagar Haveli and Daman and Diu",POS,1,INR,+9193498XXXXXX,Camping trip,chandaniXXXX@XXXXXX.com
e3ed9977-449d-4e70-bec5-96ba1e5a46a0,Vyanjana Mistry,Female,68,Jharkhand,Hazaribagh,Hazaribagh Branch,Checking,ff303783-35ff-42aa-8164-65a556d42efe,24-01-2025,23:46:20,98361.28,0c275a45-e9ef-4bf2-a39e-a8ce93daf910,Debit,Health,29806.51,Tablet,"Hazaribagh, Jharkhand",POS,1,INR,+9195427XXXXXX,Utility bill payment,vyanjanaXXX@XXXXX.com
afff8313-2335-4350-bc0a-b8d4b893e394,Reyansh Bhalla,Male,27,Telangana,Khammam,Khammam Branch,Checking,c4ffa2d3-b5f6-4b0e-9c30-df0e8a67c01b,21-01-2025,03:57:15,72664.93,956f85cc-0b3c-422f-a66a-e98ebdc00035,Bill Payment,Health,85028.68,ATM Booth Kiosk,"Khammam, Telangana",Mobile,1,INR,+9192663XXXXXX,Business expense,reyanshXXX@XXXXX.com
6139f028-2f95-49a5-a6d9-cf6ec1a748f5,Vivaan Yogi,Female,52,Puducherry,Karaikal,Karaikal Branch,Checking,f2de799b-57e7-4d2d-996f-a810693ac36e,07-01-2025,05:23:11,67217.36,6c77a62a-4ce3-48e2-8dcd-692a33fa365d,Bill Payment,Health,85700.12,Bank Branch,"Karaikal, Puducherry",POS,1,INR,+9199226XXXXXX,Department store shopping,vivaanXXX@XXXXXXX.com
86063783-c173-4fc2-9899-88b8b224d14b,Caleb Agarwal,Male,62,Maharashtra,Nashik,Nashik Branch,Checking,187817d4-cbb6-461d-b706-b30e060c3244,29-01-2025,13:56:28,45816.96,f201d50b-9164-4e18-a87c-fa113aa3ee38,Transfer,Groceries,85952.2,Tablet,"Nashik, Maharashtra",POS,1,INR,+9194736XXXXXX,Pharmacy bill,calebXXXXX@XXXXX.com
bad7a505-27aa-43a6-a5ed-fb2c259ad923,Kai Brar,Male,38,West Bengal,Durgapur,Durgapur Branch,Savings,20fe63c3-5958-477b-8378-4a3f8adc9310,01-01-2025,11:25:52,37652.48,8aa09db8-70d1-4b01-b1ae-33fdfec007e8,Bill Payment,Entertainment,58171.27,ATM,"Durgapur, West Bengal",POS,1,INR,+9199617XXXXXX,Online workshop,kaiXXX@XXXXX.com
87ef0011-5bf3-41ff-b7e1-0b43bee62c6b,Aahana Apte,Female,29,Odisha,Rourkela,Rourkela Branch,Business,c026b746-e12a-4672-93f9-8bacbe8505a7,06-01-2025,09:26:39,57674.39,aff4ede7-c5db-4f00-aa7d-1df5f2c1620a,Debit,Clothing,32773.42,Banking Chatbot,"Rourkela, Odisha",Mobile,1,INR,+9194866XXXXXX,Food delivery,aahanaXXXX@XXXXXXX.com
fccfc11a-b48d-4770-a995-d0fc4ef6a328,Tarak Das,Male,41,Karnataka,Hubli,Hubli Branch,Checking,a6690a0b-da9d-488d-9579-4f8abcccd85d,27-01-2025,05:46:07,48523.64,c8b0015f-d947-427c-902c-ce90b3b4cb88,Debit,Groceries,34663.32,Web Browser,"Hubli, Karnataka",Desktop,1,INR,+9196944XXXXXX,Event ticket purchase,tarakXXXX@XXXXXX.com
e95514f6-f287-4cdd-b290-1ee6dbff8313,William Kala,Female,70,Nagaland,Wokha,Wokha Branch,Business,1e18c4ac-4379-49e0-bf2b-924d8da4f2e3,09-01-2025,15:49:20,75817.95,03e037cd-9ec3-4a48-aa15-c32ff671a089,Withdrawal,Electronics,44038.2,ATM Booth Kiosk,"Wokha, Nagaland",ATM,1,INR,+9192713XXXXXX,Gift for friend,williamXXXXX@XXXXXXX.com
df0a3b6b-7842-47d8-a5f5-a19234850319,Arin Sachdev,Male,18,Assam,Dibrugarh,Dibrugarh Branch,Savings,1ae0fc60-933f-451b-924d-e83fd25b1c40,22-01-2025,00:07:07,30445.92,b7f61167-7579-4a60-80ea-e48c9337b848,Withdrawal,Health,92458.22,Self-service Banking Machine,"Dibrugarh, Assam",POS,1,INR,+9196373XXXXXX,Health insurance payment,arinXXXX@XXXXX.com
59db2f92-326b-49e3-a576-aca4b4d8a03b,Devansh Din,Female,18,Chandigarh,Chandigarh,Chandigarh Branch,Checking,451e7790-c702-4612-8f11-d2f6f1e62ce4,18-01-2025,17:16:11,618.45,612923f4-cfda-4be7-88df-87ac94ad9be1,Transfer,Health,14289.51,ATM Booth Kiosk,"Chandigarh, Chandigarh",Desktop,1,INR,+9198377XXXXXX,Camping gear purchase,devanshXXX@XXXXXX.com
